
2019/1/4
----------------------------------Paramater Setting----------------------------------
Using lambdaA 0.0001 using lambdaR 0.0001 using lambdaV 0.0001 using lambdaS 0.001
using Maxiter 300 init_method random fit_method False checkpoint 1000,1100
Chemical:15076	Mutation:108023	Pathway:2363	Phenotype:7732	Genes:27165	Diseases:2665
Disease-Chemical:1310249
Disease-Mutation:54032
Disease-Pathway:150855
Disease-Phenotype:1033
Disease-Disease:1826
Gene-Chemical:507004
Gene-Mutation:116033
Gene-Pathway:135345
Gene-Phenotype:160931
Gene-Gene:379235
Gene-Disease:11224532
Disease-Gene:11224532
The shape of W: 29830*163024
The shape of X: 29830*29830*2
Initialized R
step: 127 | fit: 127.00000 | delta: 1.0e+00 | secs: 6.31319
step: 128 | fit: 128.00000 | delta: 1.0e+00 | secs: 6.48495
step: 129 | fit: 129.00000 | delta: 1.0e+00 | secs: 6.44061
step: 130 | fit: 130.00000 | delta: 1.0e+00 | secs: 6.43823
step: 131 | fit: 131.00000 | delta: 1.0e+00 | secs: 6.36313
step: 132 | fit: 132.00000 | delta: 1.0e+00 | secs: 6.33445
step: 133 | fit: 133.00000 | delta: 1.0e+00 | secs: 6.35304
step: 134 | fit: 134.00000 | delta: 1.0e+00 | secs: 6.28303
step: 135 | fit: 135.00000 | delta: 1.0e+00 | secs: 6.20976
step: 136 | fit: 136.00000 | delta: 1.0e+00 | secs: 6.18301
step: 137 | fit: 137.00000 | delta: 1.0e+00 | secs: 6.22632
step: 138 | fit: 138.00000 | delta: 1.0e+00 | secs: 6.20200
step: 139 | fit: 139.00000 | delta: 1.0e+00 | secs: 6.21114
step: 140 | fit: 140.00000 | delta: 1.0e+00 | secs: 6.14023
step: 141 | fit: 141.00000 | delta: 1.0e+00 | secs: 6.16918
step: 142 | fit: 142.00000 | delta: 1.0e+00 | secs: 6.20894
step: 143 | fit: 143.00000 | delta: 1.0e+00 | secs: 6.16845
step: 144 | fit: 144.00000 | delta: 1.0e+00 | secs: 6.19145
step: 145 | fit: 145.00000 | delta: 1.0e+00 | secs: 6.13153
step: 146 | fit: 146.00000 | delta: 1.0e+00 | secs: 6.11400
step: 147 | fit: 147.00000 | delta: 1.0e+00 | secs: 6.09929
step: 148 | fit: 148.00000 | delta: 1.0e+00 | secs: 6.18692
step: 149 | fit: 149.00000 | delta: 1.0e+00 | secs: 6.08582
step: 150 | fit: 150.00000 | delta: 1.0e+00 | secs: 6.15068
step: 151 | fit: 151.00000 | delta: 1.0e+00 | secs: 6.14313
step: 152 | fit: 152.00000 | delta: 1.0e+00 | secs: 6.55431
step: 153 | fit: 153.00000 | delta: 1.0e+00 | secs: 6.07862
step: 154 | fit: 154.00000 | delta: 1.0e+00 | secs: 6.10856
step: 155 | fit: 155.00000 | delta: 1.0e+00 | secs: 6.12537
step: 156 | fit: 156.00000 | delta: 1.0e+00 | secs: 6.14857
